"taxonomy1","taxonomy2","score"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Chiropractors","Chiropractors","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Notaries","Notaries","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Libraries","Libraries","1"
"Chiropractors","Chiropractors","1"
"Notaries","Notaries","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Chiropractors","Chiropractors","1"
"Chiropractors","Chiropractors","1"
"Notaries","Notaries","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Notaries","Notaries","1"
"Travel Agencies","Travel Agencies","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Travel Agencies","Travel Agencies","1"
"Chiropractors","Chiropractors","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Travel Agencies","Travel Agencies","1"
"Travel Agencies","Travel Agencies","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Commercial Printing","Commercial Printing","1"
"Chiropractors","Chiropractors","1"
"Commercial Printing","Commercial Printing","1"
"Copywriters","Writers & Copywriters","0.85714287"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Locksmith","Locksmiths","0.75"
"Elevators / Escalators - Installation / Service","Elevators & Ramps - Installation & Service","0.7380952"
"Elevators / Escalators - Installation / Service","Elevators & Ramps - Installation & Service","0.7380952"
"Elevators / Escalators - Installation / Service","Elevators & Ramps - Installation & Service","0.7380952"
"Elevators / Escalators - Installation / Service","Elevators & Ramps - Installation & Service","0.7380952"
"Elevators / Escalators - Installation / Service","Elevators & Ramps - Installation & Service","0.7380952"
"Elevators / Escalators - Installation / Service","Elevators & Ramps - Installation & Service","0.7380952"
"Elevators / Escalators - Installation / Service","Elevators & Ramps - Installation & Service","0.7380952"
"Elevators / Escalators - Installation / Service","Elevators & Ramps - Installation & Service","0.7380952"
"Elevators / Escalators - Installation / Service","Elevators & Ramps - Installation & Service","0.7380952"
"Elevators / Escalators - Installation / Service","Elevators & Ramps - Installation & Service","0.7380952"
"Elevators / Escalators - Installation / Service","Elevators & Ramps - Installation & Service","0.7380952"
"Elevators / Escalators - Installation / Service","Elevators & Ramps - Installation & Service","0.7380952"
"Elevators / Escalators - Installation / Service","Elevators & Ramps - Installation & Service","0.7380952"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Auto Body / Paint Shops","Auto Body Shops","0.72727275"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
"Interior Designers","Decorators & Interior Designers","0.7037037"
